Name,ISO3,IEA
Afghanistan,AFG,
Angola,AGO,ANGOLA
Albania,ALB,ALBANIA
United Arab Emirates,ARE,UAE
Argentina,ARG,ARGENTINA
Armenia,ARM,ARMENIA
Australia,AUS,AUSTRALI
Austria,AUT,AUSTRIA
Azerbaijan,AZE,AZERBAIJAN
Burundi,BDI,
Belgium,BEL,BELGIUM
Benin,BEN,BENIN
Burkina Faso,BFA,MBURKINAFA
Bangladesh,BGD,BANGLADESH
Bulgaria,BGR,BULGARIA
Bosnia and Herzegovina,BIH,BOSNIAHERZ
Belarus,BLR,BELARUS
Belize,BLZ,
Bolivia,BOL,BOLIVIA
Brazil,BRA,BRAZIL
Brunei,BRN,BRUNEI
Bhutan,BTN,
Botswana,BWA,BOTSWANA
Central African Republic,CAF,
Canada,CAN,CANADA
Switzerland,CHE,SWITLAND
Chile,CHL,CHILE
China,CHN,CHINA
Côte d'Ivoire,CIV,COTEIVOIRE
Cameroon,CMR,CAMEROON
Democratic Republic of the Congo,COD,CONGOREP
Republic of Congo,COG,CONGO
Colombia,COL,COLOMBIA
Costa Rica,CRI,COSTARICA
Cuba,CUB,CUBA
Czech Republic,CZE,CZECH
Germany,DEU,GERMANY
Djibouti,DJI,
Denmark,DNK,DENMARK
Dominican Republic,DOM,DOMINICANR
Algeria,DZA,ALGERIA
Ecuador,ECU,ECUADOR
Egypt,EGY,EGYPT
Eritrea,ERI,ERITREA
Western Sahara,ESH,
Spain,ESP,SPAIN
Estonia,EST,ESTONIA
Ethiopia,ETH,ETHIOPIA
Finland,FIN,FINLAND
Fiji,FJI,
France,FRA,FRANCE
Gabon,GAB,GABON
United Kingdom,GBR,UK
Georgia,GEO,GEORGIA
Ghana,GHA,GHANA
Guinea,GIN,
Gambia,GMB,
Guinea-Bissau,GNB,
Equatorial Guinea,GNQ,EQGUINEA
Greece,GRC,GREECE
Guatemala,GTM,GUATEMALA
French Guiana,GUF,
Guyana,GUY,
Hong Kong,HKG,HONGKONG
Honduras,HND,HONDURAS
Croatia,HRV,CROATIA
Haiti,HTI,HAITI
Hungary,HUN,HUNGARY
Indonesia,IDN,INDONESIA
India,IND,INDIA
Ireland,IRL,IRELAND
Iran,IRN,IRAN
Iraq,IRQ,IRAQ
Iceland,ISL,ICELAND
Israel,ISR,ISRAEL
Italy,ITA,ITALY
Jordan,JOR,JORDAN
Japan,JPN,JAPAN
Kazakhstan,KAZ,KAZAKHSTAN
Kenya,KEN,KENYA
Kyrgyzstan,KGZ,KYRGYZSTAN
Cambodia,KHM,CAMBODIA
South Korea,KOR,KOREA
Kuwait,KWT,KUWAIT
Laos,LAO,LAO
Lebanon,LBN,LEBANON
Liberia,LBR,
Libya,LBY,LIBYA
Sri Lanka,LKA,SRILANKA
Lesotho,LSO,
Lithuania,LTU,LITHUANIA
Luxembourg,LUX,LUXEMBOU
Latvia,LVA,LATVIA
Morocco,MAR,MOROCCO
Moldova,MDA,MOLDOVA
Madagascar,MDG,MADAGASCAR
Mexico,MEX,MEXICO
Macedonia,MKD,NORTHMACED
Mali,MLI,
Myanmar,MMR,MYANMAR
Montenegro,MNE,MONTENEGRO
Mongolia,MNG,MONGOLIA
Mozambique,MOZ,MOZAMBIQUE
Mauritania,MRT,
Malawi,MWI,
Malaysia,MYS,MALAYSIA
Namibia,NAM,NAMIBIA
Niger,NER,NIGER
Nigeria,NGA,NIGERIA
Nicaragua,NIC,NICARAGUA
Netherlands,NLD,NETHLAND
Norway,NOR,NORWAY
Nepal,NPL,NEPAL
New Zealand,NZL,NZ
Oman,OMN,OMAN
Pakistan,PAK,PAKISTAN
Panama,PAN,PANAMA
Peru,PER,PERU
Philippines,PHL,PHILIPPINE
Papua New Guinea,PNG,
Poland,POL,POLAND
North Korea,PRK,KOREADPR
Portugal,PRT,PORTUGAL
Paraguay,PRY,PARAGUAY
Palestina,PSE,
Qatar,QAT,QATAR
Romania,ROU,ROMANIA
Russia,RUS,RUSSIA
Rwanda,RWA,RWANDA
Saudi Arabia,SAU,SAUDIARABI
Sudan,SDN,SUDAN
Senegal,SEN,SENEGAL
Sierra Leone,SLE,
El Salvador,SLV,ELSALVADOR
Somalia,SOM,
Serbia,SRB,SERBIA
South Sudan,SSD,SSUDAN
Suriname,SUR,SURINAME
Slovakia,SVK,SLOVAKIA
Slovenia,SVN,SLOVENIA
Sweden,SWE,SWEDEN
Eswatini,SWZ,ESWATINI
Syria,SYR,SYRIA
Chad,TCD,MCHAD
Togo,TGO,TOGO
Thailand,THA,THAILAND
Tajikistan,TJK,TAJIKISTAN
Turkmenistan,TKM,TURKMENIST
Trinidad and Tobago,TTO,TRINIDAD
Tunisia,TUN,TUNISIA
Turkiye,TUR,TURKEY
Taiwan,TWN,TAIPEI
Tanzania,TZA,TANZANIA
Uganda,UGA,UGANDA
Ukraine,UKR,UKRAINE
Uruguay,URY,URUGUAY
United States,USA,USA
Uzbekistan,UZB,UZBEKISTAN
Venezuela,VEN,VENEZUELA
Vietnam,VNM,VIETNAM
Yemen,YEM,YEMEN
South Africa,ZAF,SOUTHAFRIC
Zambia,ZMB,ZAMBIA
Zimbabwe,ZWE,ZIMBABWE
